; Created by WC-DAP 3.0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeployID,Ptt,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
33236,33236,Argos,Mk10,TAD,8/19/2010 15:00,6,6,0,,,,11,360,12.2,52.8,5.8,2.8,1.7,3.3,3.1,2.8,3.3,12.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/19/2010 18:00,6,4,0,,,,11,361,30.2,54.6,4.2,0.8,0.6,1.7,1.4,1.4,1.4,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/19/2010 21:00,6,1,0,,,,11,269,9.3,77.3,2.2,0.4,0.4,1.1,1.9,1.5,1.9,4.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 0:00,6,5,0,,,,11,362,34.8,62.4,0.8,0,0.3,0.3,0.3,0.3,0.3,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 3:00,6,1,0,,,,11,360,30.8,68.1,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 6:00,6,1,0,,,,11,363,39.7,56.7,2.8,0.3,0.3,0.3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 15:00,6,2,0,,,,11,270,78.9,21.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 18:00,6,2,0,,,,11,359,67.4,32.3,0.3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/20/2010 21:00,6,1,0,,,,11,216,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33236,33236,Argos,Mk10,TAD,8/21/2010 0:00,6,1,0,,,,11,216,100,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
